"agencyIdentification","agencyCode","agencyCity","agencyProvince","agencyPhone","agencyAddress1","agencyCap","agencyEmail","agencyDescription","agencyfax","companyId","companyName","status","order"
"AG0000","00","00","  ","","","","","","",1,"Cristallo srls","published",""
"AG0000","00","00","  ","","","","","","",1,"Cristallo srls","published",""
"AGCUORGNETA4","TA4","CUORGNE","  ","","","","","","",1,"Cristallo srls","published",""
"AGMONCALIERI5048","5048","MONCALIERI","  ","0116404170","","","","","",1,"Cristallo srls","published",""
"AGCHIERI0517","0517","CHIERI","  ","0119425387","","","AG0517@AXA-AGENZIE.IT","","",1,"Cristallo srls","published",""
"AGVOGHERA48","48","VOGHERA","PV","038341784","VIA EMILIA, 48","27058","AGENZIA.VOGHERAEMILIA48.IT@GENERALI.COM","","",1,"Cristallo srls","published",""
"AGALBA00","00","ALBA","CN","0173284318","PZZA CRISTO RE, 15/B","12051","","","",1,"Cristallo srls","published",""
"AGACQUI TERMES16","S16","ACQUI TERME","AL","0144322851","CORSO DANTE, 30","15011","","","",1,"Cristallo srls","published",""
"AGVOLPIANO198","198","VOLPIANO","  "," 0119002334","",""," SINISTRIAGENZIA198@GMAIL.COM","","",1,"Cristallo srls","published",""
"AGSALUZZO00","00","SALUZZO","  ","0175 42626","","","","","",1,"Cristallo srls","published",""
"AGASTI00","00","ASTI","  ","0141557358","","","","","",1,"Cristallo srls","published",""
"AGMAGENTA170","170","MAGENTA","  ","","","","","","",1,"Cristallo srls","published",""
"AGCUNEO100","100","CUNEO","  ","","","","","","",1,"Cristallo srls","published",""
"AGORBASSANO159","159","ORBASSANO","  ","011 900 2334","","","","","",1,"Cristallo srls","published",""
"AGNOVI LIGURE2489","2489","NOVI LIGURE","  ","0143 75274","","","","","",1,"Cristallo srls","published",""
"AGCARMAGNOLA122","122","CARMAGNOLA","  ","011 972 3200","","","","","",1,"Cristallo srls","published",""
"AGIVREA0105","0105","IVREA","  "," 012548000","","","","","",1,"Cristallo srls","published",""
"AGTORINO594","594","TORINO","  ","0113115457","","","","","",1,"Cristallo srls","published",""
"AGPINEROLOTP8","TP8","PINEROLO","TO","0121322165","C.SO TORINO, 50","10060","","","",1,"Cristallo srls","published",""
"AGMONCALIERI10294","10294","MONCALIERI","  ","0116051849","","","","","",1,"Cristallo srls","published",""
"AGCHIERIA53","A53","CHIERI","TO","0119471188","VIA VITTORIO EMANUELE, 31","10023","","","",1,"Cristallo srls","published",""
"AGMONCALIERIA46","A46","MONCALIERI","TO","0116402112","CORSO SAVONA 15","10024","","","",1,"Cristallo srls","published",""
"AGTORINOA36","A36","TORINO","TO","0113190351","CORSO CORSIVA 19","10134","","","",1,"Cristallo srls","published",""
"AGPINEROLO1423","1423","PINEROLO","  ","0121 321950","","","","","",1,"Cristallo srls","published",""
"AGPINEROLO556","556","PINEROLO","  ","012175577","","","","","",1,"Cristallo srls","published",""
"AGCOLLEGNOCOLLEGNO","COLLEGNO","COLLEGNO","  ","0117801255","","","","","",1,"Cristallo srls","published",""
"AGVENARIA59176","59176","VENARIA","  "," 0114527053","","","","","",1,"Cristallo srls","published",""
"AGCAVOUR6615","6615","CAVOUR","  ","012431196","","","","","",1,"Cristallo srls","published",""
"AGSAVIGLIANO022","022","SAVIGLIANO","  ","017222364","","","","","",1,"Cristallo srls","published",""
"AGCUNEO064","064","CUNEO","  ","","","","CUNEO@GROUPAMA.IT","","",1,"Cristallo srls","published",""
"AGTORINO65077","65077","TORINO","  ","","","","","","",1,"Cristallo srls","published",""
"AGACQUI TERME000","000","ACQUI TERME","  ","","","","ACQUITERME@GROUPAMA.IT","","",1,"Cristallo srls","published",""
"AGASTI64573","64573","ASTI","  ","","","","","","",1,"Cristallo srls","published",""
"AGVILLAFRANCA PIEMONTET4B","T4B","VILLAFRANCA PIEMONTE","  ","0119800855","","","AGENZIA.VILLAFRANCAPIEMONTE.IT@GENERALI.COM","","",1,"Cristallo srls","published",""
"AGTORINO TURATI59862","59862","TORINO TURATI","  ","011 318 1278","","","","","",1,"Cristallo srls","published",""
"AGASTI101","101","ASTI","  ","","","","","","",1,"Cristallo srls","published",""
"AGASTI020","020","ASTI","  ","","","","AG0202@AXA-AGENZIE.IT","","",1,"Cristallo srls","published",""
"AGASTI012","012","ASTI","  ","","","","ASTI@GROUPAMA.IT","","",1,"Cristallo srls","published",""
"AGMONCALIERI545","545","MONCALIERI","  ","","","","AG0545@AXA-AGENZIE.IT","","",1,"Cristallo srls","published",""
"AGMILANO0000","0000","MILANO","  ","","","","INFO@WINWINSOLUTION.IT","","",1,"Cristallo srls","published",""
"AGASTI060","060","ASTI","  ","","","","AG_060.01@AGENTIVITTORIA.IT","","",1,"Cristallo srls","published",""
"AGALBA021","021","ALBA","  ","","","","AG_021.01@AGENTIVITTORIA.IT","","",1,"Cristallo srls","published",""
"AGRACCONIGI1237","1237","RACCONIGI","  ","","","","SFAGENZIARACCONIGI@GMAIL.COM","","",1,"Cristallo srls","published",""
"AGBRA3021","3021","BRA","  ","0172413269","","","AG0302@AXA-AGENZIE.IT","","",1,"Cristallo srls","published",""
"AGTORINO39015","39015","TORINO","  ","0115217038","","","","","",1,"Cristallo srls","published",""
"AGALESSANDRIA 14T","14","ALESSANDRIA ","  ","0131 445432","","","","","",1,"Cristallo srls","published",""
"AGROMA60827","60827","ROMA","  ","063210672","","","","","",1,"Cristallo srls","published",""
"AGPINASCA460","460","PINASCA","  ","","","","AG0460@AXA-AGENZIE.IT","","",1,"Cristallo srls","published",""
"AGBIELLABIELLA","BIELLA","BIELLA","BI","0158409350 ","VIALE ROMA 10/A","13900","","","",1,"Cristallo srls","published",""
"AGSALUZZO188","188","SALUZZO","  ","","","","CN504@PEC.AGENZIAZURICH.IT","","",1,"Cristallo srls","published",""
"AGTORINO150","150","TORINO","  ","","","","AG0150@SARAAGENZIE.IT","","",1,"Cristallo srls","published",""
"AGASTI008","008","ASTI","  ","01411530330","","","AGENZIA008@GROUPAMA.IT","","",1,"Cristallo srls","published",""
"AGIVREA00000","00000","IVREA","  ","0125627767","VIA JERVIS 37 10015 IVREA (TO)","","AG_159.01@AGENTIVITTORIA.IT","","",1,"Cristallo srls","published",""
"AGTORINO MARIA VITTORIA00000","00000","TORINO MARIA VITTORIA","  ","0118123503","","","","","",1,"Cristallo srls","published",""
"AGCHIERIT81","T81","CHIERI","  ","0119472086","","","","","",1,"Cristallo srls","published",""
"AGRIVAROLO CANAVESE020","020","RIVAROLO CANAVESE","  ","012429258","","","","","",1,"Cristallo srls","published",""
"AGCOLLEGNO56987","56987","COLLEGNO","  ","0114034100","","","","","",1,"Cristallo srls","published",""
"AG","00","CUNEO","  ","","","","CUNEO@GROUPAMA.IT","","",1,"Cristallo srls","published",""
"AGCAVOURB39","B39","CAVOUR","  ","","","","AGENZIAB39@GROUPAMA.IT","","",1,"Cristallo srls","published",""
"AGASTI055","055","ASTI","  ","0141557358","","","ASTI@CATTOLICA.IT","","",1,"Cristallo srls","published",""
"AGMONCALIERI 01","01","MONCALIERI ","  ","0116827711","","","","","",1,"Cristallo srls","published",""
"AGMONCALIERI567","567","MONCALIERI","  ","0116828121","","","","","",1,"Cristallo srls","published",""
"AGCANELLICANELLI","CANELLI","CANELLI","  ","0141823179","","","AGENZIA144@TOROASSICURAZIONI.NET","","",1,"Cristallo srls","published",""
"AGCAVOUR0000","0000","CAVOUR","  ","","","","ROBERTAMOSCA@REALECAVOUR.IT","","",1,"Cristallo srls","published",""
"AGTORINO DIREZIONE259","259","TORINO DIREZIONE","  ","","","","","","",1,"Cristallo srls","published",""
"AGACQUI TERME1129","1129","ACQUI TERME","  ","014456777","","","01129@UNIPOLSAI.IT","","",1,"Cristallo srls","published",""
"AGASTI 256652","56652","ASTI 2","  ","","","","","","",1,"Cristallo srls","published",""
"AGVALENZA791","791","VALENZA","  ","","","","AG_791.01@AGENTIVITTORIA.IT","","",1,"Cristallo srls","published",""
"AGSAVIGLIANO0298","0298","SAVIGLIANO","  ","0121377201","","","","","",1,"Cristallo srls","published",""
"AGASTI000","000","ASTI","  ","0141720322","","","SINISTRI.TSUNAMI@AON.IT","","",1,"Cristallo srls","published",""
"AGVARAZZE722","722","VARAZZE","  ","019934658","","","H722@HELVETIA.IT","","",1,"Cristallo srls","published",""
"AGIVREA 302236","02236","IVREA 3","  ","","","","","","",1,"Cristallo srls","published",""
"AGASTI400198","400198","ASTI","  ","0141595143","","","ASTI.400198@AGENZIATUA.IT","","",1,"Cristallo srls","published",""
"AGBRUINO29","29","BRUINO","  ","0119086802","","","","","",1,"Cristallo srls","published",""
"AGIVREA44323","44323","IVREA","  "," 0125 616462","","","","","",1,"Cristallo srls","published",""
"AGTORINO 1059903","59903","TORINO 10","  ","","","","","","",1,"Cristallo srls","published",""
"AGTORINO53598","53598","TORINO","  ","011740050","","","","","",1,"Cristallo srls","published",""
"AGAA1028","1028","AA","  "," 0131252161","","","A1028@AGENZIA-AVIVA.IT","","",1,"Cristallo srls","published",""
"AGCODROIPO41587","41587","CODROIPO","  ","","","","","","",1,"Cristallo srls","published",""
"AGCIRIE'10168","10168","CIRIE'","  ","0119210156","","","","","",1,"Cristallo srls","published",""
"AGACQUI TERME002","002","ACQUI TERME","  ","0144323886","","","ACQUITERMECENTRO@CATTOLICA.IT","","",1,"Cristallo srls","published",""
"AGSETTIMO TORINESE077","077","SETTIMO TORINESE","  ","0118970230","","","H7793@HELVETIA.IT","","",1,"Cristallo srls","published",""
"AGPEVERAGNOPEVERAGNO","PEVERAGNO","PEVERAGNO","  ","0171 631207","","","AG_241.01@AGENTIVITTORIA.IT","","",1,"Cristallo srls","published",""
"AGPESCARA02714","02714","PESCARA","  ","0854540961","","","","","",1,"Cristallo srls","published",""
"AGIVREA925","925","IVREA","  ","","","","AG925@HDIARETE.IT","","",1,"Cristallo srls","published",""
"AGSETTIMO TORINESE5049","5049","SETTIMO TORINESE","  ","0118976500","","","","","",1,"Cristallo srls","published",""
"AGFOSSANOC40","40","FOSSANO","  ","","","","SINISTRI@LEOASSICURAZIONI.IT","","",1,"Cristallo srls","published",""
"AGCARAGLIORI","RI","CARAGLIO","  ","","","","CARAGLIO.400549@AGENZIATUA.IT","","",1,"Cristallo srls","published",""
"AGCERTALDO01111","01111","CERTALDO","  ","0571 663463","","","","","",1,"Cristallo srls","published",""
"AGTRADATE44403","44403","TRADATE","  "," 0331849960","","","","","",1,"Cristallo srls","published",""
"AGMAGLIE53007","53007","MAGLIE","LE","0836484007","","73024","","","",1,"Cristallo srls","published",""
"AGBORGOSESIA119","119","BORGOSESIA","  ","0163 204810","","","","","",1,"Cristallo srls","published",""
"AGAOSTAA107","A107","AOSTA","  "," 0165 262122","","","","","",1,"Cristallo srls","published",""
"AGTORINO GENERALE1873","1873","TORINO GENERALE","  ","","","","","","",1,"Cristallo srls","published",""
"AGROMA487","487","ROMA","  ","","","","","","",1,"Cristallo srls","published",""
"AGORBASSANO1324","1324","ORBASSANO","  ","0119031317","","","AG1324@HDIARETE.IT","","",1,"Cristallo srls","published",""
"AGLECCE372","372","LECCE","  ","0832 245835","","","","","",1,"Cristallo srls","published",""
"AGAOSTA01079","01079","AOSTA","  ","016545279","","","","","",1,"Cristallo srls","published",""
"AGBRA120","120","BRA","  ","","","","","","",1,"Cristallo srls","published",""
"AGBRA55269","55269","BRA","  ","","","","","","",1,"Cristallo srls","published",""
"AGVITTORIO VENETO873","873","VITTORIO VENETO","TV","0438550841","","31029","","","",1,"Cristallo srls","published",""
"AGBORGARO STADIUM187 ","187 ","BORGARO STADIUM","  ","011454335","","","","","",1,"Cristallo srls","published",""
"AGCASALE MONFERRATO39514","39514","CASALE MONFERRATO","  ","","","","","","",1,"Cristallo srls","published",""
"AGBUSCA023","023","BUSCA","  ","","","","","","",1,"Cristallo srls","published",""
"AGDOMODOSSOLA251","251","DOMODOSSOLA","  ","0324 46931","","","","","",1,"Cristallo srls","published",""
"AGSAVONA VEGERIO 0135","0135","SAVONA VEGERIO ","  ","019 812393","","","","","",1,"Cristallo srls","published",""
"AGTORINO 1557 941","57 941","TORINO 15","  ","011343400","","","","","",1,"Cristallo srls","published",""
"AGGENOVA337","337","GENOVA","  ","","","","","","",1,"Cristallo srls","published",""
"AGALESSANDRIA 2106 CORRETTO","106 CORRETTO","ALESSANDRIA 2","  ","0131252829","","","","","",1,"Cristallo srls","published",""
"AGMAGENTA409","409","MAGENTA","  ","02 97295427","","","","","",1,"Cristallo srls","published",""
"AGMILANO257","257","MILANO","  ","02861741","","","","","",1,"Cristallo srls","published",""
"AGCASALE MONFERRATO RB3RB3","RB3","CASALE MONFERRATO RB3","  ","0142452958","","","","","",1,"Cristallo srls","published",""
"AGTORINO DI NANNIT5M","T5M","TORINO DI NANNI","  ","0114332203","","","","","",1,"Cristallo srls","published",""
"AGNOVI LIGURE58130","58130","NOVI LIGURE","NO","0143322930","VIA ROMA 135","15067","58130@UNIPOLSAI.IT"," - AGENZIA DI BIGHI LORENZO","",1,"Cristallo srls","published",""
"AGTORTONA02693","02693","TORTONA","  ","0131867181","CORSO REPUBBLICA 8, 15057, TORTONA","15057","02693@UNIPOLSAI.IT"," - AGENZIA DI GUGLIADA MAURIZIO","",1,"Cristallo srls","published",""
"AGSETTIMO TORINESESETTIMO","SETTIMO","SETTIMO TORINESE","  ","0118984379","","",""," AG. GERARDI FRANCO","",1,"Cristallo srls","published",""
"AGBRA 156820","56820","BRA 1","  ","0172412240 ","","",""," AGENZIA 56820 - AGENZIA DI B &amp; B DI FABRIZIO BIGONE &amp; C. S.A.S.","",1,"Cristallo srls","published",""
"AGPINEROLO54194","54194","PINEROLO","  ","0121794342","VIA STEFANO FER,2 ANG.VIA MARTIRI XXI","10064","54194@UNIPOLSAI.IT"," AGENZIA DI ADIELLE S.N.C.","",1,"Cristallo srls","published",""
"AGTORINO64971","64971","TORINO","  ","0114365379","VIA DEL CARMINE, 2/F, 10122, TORINO","10122","64971@UNIPOLSAI.IT"," AGENZIA DI ANTONIO TAURINO S.R.L.","",1,"Cristallo srls","published",""
"AGARONA56609","56609","ARONA","  ","0322242564","V. BROGGI 3, 28041, ARONA","28041","56609@UNIPOLSAI.IT","- AGENZIA DI ARONA ASS.NI SNC DI SARACCO E TARLAO","",1,"Cristallo srls","published",""
"AGBIELLA39370","39370","BIELLA","  ","01534123","VIA MONTEGRAPPA, 18 ANG. VIA CARSO, 13100, BIELLA","13100","39370@UNIPOLSAI.IT"," AGENZIA DI ASSIBIELLA SRL","",1,"Cristallo srls","published",""
"AGTORINO39386","39386","TORINO","TO","0113854045","VIA MONGINEVRO 90, 10141, TORINO","10141","39386@UNIPOLSAI.IT"," AGENZIA DI ASSICURIAMO S.A.S. DI GATTI DAVIDE &amp; C.","",1,"Cristallo srls","published",""
"AGBORGOMANERO65128","65128","BORGOMANERO","  ","0322836252","VIALE A. MARAZZA 30","28021","65128@UNIPOLSAI.IT"," AGENZIA DI ASSICUSIO S.R.L.","",1,"Cristallo srls","published",""
"AGTORINO01803","01803","TORINO","  ","0115185147","VIA PERRONE 3, 10122, TORINO","10122","01803@UNIPOLSAI.IT"," AGENZIA DI ASSIPIEMONTE 96 S.R.L","",1,"Cristallo srls","published",""
"AGBRA56820","56820","BRA","  ","0172412240","VIA PRINCIPI DI PIEMONTE 79","12042","56820@UNIPOLSAI.IT"," AGENZIA DI B &amp; B DI FABRIZIO BIGONE &amp; C. S.A.S.","",1,"Cristallo srls","published",""
"AGSALUZZO58689","58689","SALUZZO","  ","017541940","VIA MATTATOIO 3/A, 12037, SALUZZO","12037","58689@UNIPOLSAI.IT"," AGENZIA DI BERTONE UGO &amp; MILANO GIUSEPPE S.N.C.","",1,"Cristallo srls","published",""
"AGCOSSATO54300","54300","COSSATO","  ","0159842185","VIA MAZZINI, 44","13836","54300@UNIPOLSAI.IT"," AGENZIA DI BOCCHIO ENRICO SAS","",1,"Cristallo srls","published",""
"AGALBA40104","40104","ALBA","  ","0173285607","VIA F. SORBA, 4, 12051, ALBA","12051","40104@UNIPOLSAI.IT"," AGENZIA DI CALORIO S. E BERNOCCO P. S.N.C.","",1,"Cristallo srls","published",""
"AGALBA64411","64411","ALBA","  ","0173441946","CORSO FRATELLI BANDIERA 13","12051","64411@UNIPOLSAI.IT"," AGENZIA DI CANIS ASSICURAZIONI SAS","",1,"Cristallo srls","published",""
"AGALBA52248","52248","ALBA","  ","0173440378","CORSO LANGHE 7, 12051, ALBA","12051","52248@UNIPOLSAI.IT"," AGENZIA DI COSTA E GORI SNC","",1,"Cristallo srls","published",""
"AGCOLLEGNO01780","01780","COLLEGNO","TO","0114034300","CORSO FRANCIA, 98","10093","01780@UNIPOLSAI.IT"," AGENZIA DI EMMEFFE SNC","",1,"Cristallo srls","published",""
"AGTORINO39380","39380","TORINO","TO","011533275","VIA SAN PAOLO 60, 10141, TORINO","10141","39380@UNIPOLSAI.IT"," AGENZIA DI EUROASSIFIN S.R.L.","",1,"Cristallo srls","published",""
"AGTORINO40023","40023","TORINO","TO","0115611287","CORSO GALILEO FERRARIS,14","10121","40023@UNIPOLSAI.IT"," AGENZIA DI GALILEO ASS S.A.S. DI MONTARULI R. &amp; C.","",1,"Cristallo srls","published",""
"AGALESSANDRIA46762","46762","ALESSANDRIA","  ","0131263447","VIA PONTIDA 10, 15121, ALESSANDRIA","15121","46762@UNIPOLSAI.IT"," AGENZIA DI GIORDANO GIUSEPPE MARIA","",1,"Cristallo srls","published",""
"AGPINEROLO01423","01423","PINEROLO","  ","0121321950","PIAZZA CAVOUR, 19, 10064, PINEROLO","10064","01423@UNIPOLSAI.IT"," AGENZIA DI LA VIE EN ROSE S.N.C.","",1,"Cristallo srls","published",""
"AGMONCALIERI34286","34286","MONCALIERI","TO","011643488","CORSO ROMA, 10/1","10024","34286@UNIPOLSAI.IT"," AGENZIA DI MANNUCCI MARCO","",1,"Cristallo srls","published",""
"AGLUSERNA SAN GIOVANNI61349","61349","LUSERNA SAN GIOVANNI","  ","0121900322","V. I MAGGIO 44/6, 10062, LUSERNA SAN GIOVANNI","10062","61349@UNIPOLSAI.IT"," AGENZIA DI MAURO ROBERTO","",1,"Cristallo srls","published",""
"AGCALUSO60319","60319","CALUSO","TO","0119891773","C.SO TORINO 53, 10014, CALUSO","10014","60319@UNIPOLSAI.IT"," AGENZIA DI MOSSINO JEAN FRANCOIS/MOSSINO CHRISTIAN","",1,"Cristallo srls","published",""
"AGALESSANDRIA39323","39323","ALESSANDRIA","  ","0131253592","VIA DANTE 21","15121","39323@UNIPOLSAI.IT"," AGENZIA DI MUDA &amp; PARTNERS S.R.L.","",1,"Cristallo srls","published",""
"AGTORINO","30498","TORINO","TO","0116634447","VIA GARESSIO, 6, 10126, TORINO","10126","30498@UNIPOLSAI.IT"," AGENZIA DI NEGRO PATRIZIA","",1,"Cristallo srls","published",""
"AGTORINO50977","50977","TORINO","  ","0114407088","CORSO SICCARDI, 11, 10122, TORINO","10122","50977@UNIPOLSAI.IT"," AGENZIA DI NICOLOSI GIORGIO","",1,"Cristallo srls","published",""
"AGCHIERI40022","40022","CHIERI","  ","01119815111","VIA FRATELLI FEA, 8","10023","40022@UNIPOLSAI.IT"," AGENZIA DI PEREDA MASSIMO","",1,"Cristallo srls","published",""
"AGNOVI LIGURE20607","20607","NOVI LIGURE","  ","","VIA GARIBALDI, 121","15067","20607@UNIPOLSAI.IT"," AGENZIA DI PERSANO GIANCARLO","",1,"Cristallo srls","published",""
"AGTORINO59686","59686","TORINO","TO","0114333128","CSO. VITTORIO EMANUELE II 158","10138","59686@UNIPOLSAI.IT"," AGENZIA DI RAGUSA LUIGI","",1,"Cristallo srls","published",""
"AGBIELLA56750","56750","BIELLA","  ","0158409350","V.LE ROMA 10/A","13900","56750@UNIPOLSAI.IT"," AGENZIA DI RENALDO 4.0 S.N.C.","",1,"Cristallo srls","published",""
"AGNOVARA64301","64301","NOVARA","  ","032136372","VIA NEGRONI 4","28100","64301@UNIPOLSAI.IT"," AGENZIA DI ROAS DI DOTT. OSCAR ROGGIA &amp; C. S.A.S.","",1,"Cristallo srls","published",""
"AGPINEROLO10271","10271","PINEROLO","  ","012178700","VIA BUNIVA 71","10064","10271@UNIPOLSAI.IT"," AGENZIA DI ROSO ENRICO","",1,"Cristallo srls","published",""
"AGVERCELLI53512","53512","VERCELLI","  ","0161258533","VIA CESARE BALBO 2, 13100, VERCELLI","13100","53512@UNIPOLSAI.IT"," AGENZIA DI SALA ADRIANA","",1,"Cristallo srls","published",""
"AGCUNEO46950","46950","CUNEO","  ","0171603777","CORSO NIZZA, 16, 12100, CUNEO","12100","46950@UNIPOLSAI.IT"," AGENZIA DI SCIARRETTA SAS DEL DR. PAOLO SCIARRETTA","",1,"Cristallo srls","published",""
"AGBRA48498","48498","BRA","  ","017244167","VIA V. EMANUELE II, 121, 12042, BRA","12042","48498@UNIPOLSAI.IT"," AGENZIA DI SERVIZI ASSICURATIVI DI BALESTRA PAOLA &amp;","",1,"Cristallo srls","published",""
"AGRIVOLI63328","63328","RIVOLI","TO","0119580924","C.SO SUSA 40, 10098, RIVOLI","10098","63328@UNIPOLSAI.IT"," AGENZIA DI TANTARDINI ANDREA","",1,"Cristallo srls","published",""
"AGCUORGNE'02622","02622","CUORGNE'","TO","0124666745","VIA G. GALILEI, 1-3-5, 10082, CUORGNE'","10082","02622@UNIPOLSAI.IT"," AGENZIA DI UNICANAVESE S.A.S.","",1,"Cristallo srls","published",""
"AGALESSANDRIA02041","02041","ALESSANDRIA","  ","0131250420","VIA FAA' DI BRUNO N.33, 15121, ALESSANDRIA","15121","02041@UNIPOLSAI.IT"," AGENZIA DI UNITEAM SNC","",1,"Cristallo srls","published",""
"AGALESSANDRIA45999","45999","ALESSANDRIA","  ","0131443909","VIA TROTTI 44, 15121, ALESSANDRIA","15121","45999@UNIPOLSAI.IT"," AGENZIA DI VERNA ASSICURAZIONI - SAS DI MAURO VERNA","",1,"Cristallo srls","published",""
"AGOSASCO54658","54658","OSASCO","  ","0121541598","VIA GIARDINI, 15, 10060, OSASCO","10060","54658@UNIPOLSAI.IT"," AGENZIA DI VIOTTO LUIGI","",1,"Cristallo srls","published",""
"AGBIELLA00032","00032","BIELLA","  ","015402895","","",""," ASSICURAZIONI CORSETTI DI ENESCU DANIELA","",1,"Cristallo srls","published",""
"AG SAVIGNANO/SANTARCANGELOAAA","AAA"," SAVIGNANO/SANTARCANGELO","  ","0541944217","","",""," SAVIGNANO/SANTARCANGELO","",1,"Cristallo srls","published",""
"AG0000","00","00","  ","","","","","00","",1,"Cristallo srls","published",""
"AGMOMBERCELLIRAX","RAX","MOMBERCELLI","  ","","","","","0141 955539","",1,"Cristallo srls","published",""
"AG0682","0682","0682 AVIVA","  ","0142781575","","","","0682 AVIVA","",1,"Cristallo srls","published",""
"AG165N00165","N00165","165","  ","","","","AGENZIA165@GROUPAMA.IT","165","",1,"Cristallo srls","published",""
"AGTORINO 10795","10795","TORINO ","  ","0116647816","VIA NIZZA","","","2 MA SAS","",1,"Cristallo srls","published",""
"AGPINEROLO58306","58306","PINEROLO","  ","0121374888","VIA VIGONE, 77 A, 10064, PINEROLO","10064","58306@UNIPOLSAI.IT","58306 - AGENZIA DI BORGHESE GIANPIERO","",1,"Cristallo srls","published",""
"AGPERUGIAAPU","APU","PERUGIA","  ","0755011488","","","","7VALLI","",1,"Cristallo srls","published",""
"AG901 DIREZIONE901","901","901 DIREZIONE","  ","","","","","901","",1,"Cristallo srls","published",""
"AGVALDAGNO2518","2518","VALDAGNO","  "," 0445 410449","","","","A&amp;G DI ROSSETTINI","",1,"Cristallo srls","published",""
"AGTORINO 2166","166","TORINO 2","  ","0115805135","","","","A0428","",1,"Cristallo srls","published",""
"AGTORINO 60747","0747","TORINO 6","  ","0115617020","","","","A0747","",1,"Cristallo srls","published",""
"AGTORINO A36A36 - ","A36 - ","TORINO A36","  ","0112424316","","","","A36 - FERRERO MATTIA","",1,"Cristallo srls","published",""
"AGCARMAGNOLA00","00","CARMAGNOLA","  ","","","","","AA","",1,"Cristallo srls","published",""
"AGACQUI TERMET01","T01","ACQUI TERME","  ","","","","","ACQUI TERME","",1,"Cristallo srls","published",""
"AGACQUI TERME 247746","47746","ACQUI TERME 2","  ","0144356000","","","","ACQUI TERME","",1,"Cristallo srls","published",""
"AG004","004","ACQUI TERME","  ","0144322434","","","","ACQUI TERME","",1,"Cristallo srls","published",""
"AGACQUI TERME004","004","ACQUI TERME","  ","0144322531","","","","ACQUI TERME","",1,"Cristallo srls","published",""
"AGACQUI TERME 41014","41014","ACQUI TERME ","  ","0144322610","","","","ACQUI TERME TOGLIATTI","",1,"Cristallo srls","published",""
"AG00000","00000","TORINO","  ","","","","ACTISDATOASSICURAZIONI@GIGAPEC.IT","ACTIS","",1,"Cristallo srls","published",""
"AGACTIS  TORINO221","221","ACTIS  TORINO","  ","0119102060","","","","ACTIS  TORINO","",1,"Cristallo srls","published",""
"AGTORINO00525","00525","TORINO","TO","011 318 1707","","","","ADA GROUP SNC","",1,"Cristallo srls","published",""
"AGPINEROLO 3 54194","54194","PINEROLO 3 ","  "," 0121794342","","","","ADIELLE S.N.C.","",1,"Cristallo srls","published",""
