pointType,pointDescription,pointAddress1,pointCity,pointProvince,pointZip,pointWelcome,pointPhone,pointRefererPhone,pointEmail,pointWelcomeDate,pointHolderPhone
"CRISTALLO","AL_BASALUZZO_02_SANSONE AUTO","VIA NOVI, 99","BASALUZZO ","AL","15060","","0143489096","347 573 1411","AMMINISTRAZIONE@SANSONEAUTO.IT","",""
"CRISTALLO","AL_BASALUZZO_03_CARROZZERIA T&amp;T","VIA NOVI, 83","BASALUZZO","AL","15060","true",""," 334 609 523","CARROZZERIA.TET@LIBERO.IT","05/07/2023 10:53",""
"CRISTALLO","AL_BASSIGNANA_01_BARISON MARZIO","VIA FIONDI, 14","BASSIGNANA","AL","15042","true","","339 360 6261","CR.BARISON@GMAIL.COM","19/05/2021 15:10",""
"CRISTALLO","AL_BISTAGNO_01_BARBERIS SRL	","CORSO ROMA, 11","BISTAGNO","AL","15012","","0144377003","3355954077","","",""
"DEROGHE","AL_BORGO SAN MARTINO_01_AUTORIPARAZIONI S.V.N.","VIA S. RITA, 23","BORGOS.MARTINO","AL","15032","","0142429245","349 523 2053","OFFICINA.SIGNORINI@KATAMAIL.COM","",""
"CRISTALLO","AL_BOSCO MARENGO_01_MORO PNEUMATICI","S.S. 35 BIS DEI GIOVI 31","BOSCO MARENGO","AL","15062","true","0131298122"," 340865632","MORO.PNEUMATICI@GMAIL.COM","12/10/2020 12:27",""
"CRISTALLO","AL_CAPRIATA D'ORBA_01_SCIUTTO G. REPETTO G. &amp; C. SNC","STRADA RONDANETO, 1 (VIA DELLA CANTINA SOCIALE)","CAPRIATA D'ORBA ","AL","15060","true","014346261","333 835 4045","SCIUTTO.REPETTO@ALICE.IT","28/06/2023 10:36",""
"BCS","AL_CASALBAGLIANO_01_AUTORIPARAZIONI MAURIZIO DI MOLONIA MAURIZIO","VIA IV MARTIRI 125","CASALBAGLIANO","AL","15122","true","","338 347 1830","MAURI.AUTO@LIBERO.IT","30/05/2022 14:49",""
"BCS","AL_CASALE MONFERRATO_01_DIESEL TRONIC SNC","VIA VISCONTI 5","CASALEMONFERRATO","AL","15033","","0142452866","","DIESEL.TRONIC@BOSCHCARSERVICE.IT","",""
"CRISTALLO","AL_CASALE MONFERRATO_02_EMME E GI SNC","VIA EZIO TARANTELLI 15/17","CASALE MONFERRATO","AL","15033","true","014270088","335 603 2358","EMMEEGISNC@EMAIL.IT","19/10/2020 16:29",""
"CRISTALLO","AL_CASALE MONFERRATO_03_CASALAUTO SERVICE SNC","VIA VITTIME 11 SETTEMBRE 2001 1 ","CASALE MONFERRATO","AL","15033","true","0142781639","3406420061","NUOVACASALAUTO@GMAIL.COM","06/05/2021 09:18",""
"CRISTALLO","AL_CASALE MONFERRATO_04_Z.E. PNEUMATICI","VIA G.BRODOLINI 76","CASALE MONFERRATO","AL","15033","true","0142421041","331 789 0028","Z.E.PNEUMATICI@GMAIL.COM","21/06/2021 16:15",""
"CRISTALLO","AL_CASALE MONFERRATO_05_E.M.D. DI GUERCI CHRISTIAN","STRADA RONDO' 98/A","CASALE MONFERRATO","AL","15030","true","0142562363","331 178 9333","EMDSNC@LIBERO.IT","28/11/2020 08:37",""
"CRISTALLO","AL_CASALE MONFERRATO_06_ELETTRAUTO ZORZETTO","VIA ACHILLE GRANDI 18","CASALE MONFERRATO","AL","15033","true","014274535","351 948 5884","ELETTRAUTOZORZETTO@LIBERO.IT","22/09/2020 17:49",""
"CRISTALLO","AL_CASALE MONFERRATO_07_DS GARAGE ","VIA F-NEGRI 8","CASALE MONFERRATO","AL","15033","true","","3332356942","INFO.DANIELSPOSATO@GMAIL.COM","03/11/2020 14:19",""
"CRISTALLO","AL_CASALE MONFERRATO_08_BIASI DINO SNC","VIA A.GRANDI 4","CASALE MONFERRATO","AL","15033","true","014271143","339 236 8155","BIASIDIN@PAOLOBIASI.191.IT","10/06/2021 09:13",""
"CRISTALLO","AL_CASALE MONFERRATO_09_AUTOFFICINA S.C. DI IURATO CRISTIAN &amp; LORENZETTO","VIA PAOLO DESANA 15","CASALE MONFERRATO","AL","15033","true","0142454025","349 553 6705","SCMOTORSPORT@INFINITO.IT","23/10/2020 11:59","320 239 5062"
"CRISTALLO","AL_CASALE MONFERRATO_10_AUTOENNE","CORSO VALENTINO, 230","CASALE MONFERRATO","AL","15033","","0142478462","3391418173","AUTOENNE1@TISCALI.IT","","3483823615"
"CRISTALLO","AL_CASSINE_01_OFFICINA BENZI","VIA SANT'ANNA, 2","CASSINE","AL","15016","","014471109","392 448 5072","","","320 539 6867"
"CRISTALLO","AL_CASSINE_02_AUTOFFICINA CADAMURO DEI FRATELLI CADAMURO SNC","SS VALLE BORMIDA NORD, 8","CASSINE","AL","15016","true","","3393672611","CADAMURO.FA@LIBERO.IT","13/07/2023 11:17",""
"DEROGHE","AL_CASTELLAZZO BORMIDA_01_F.LLI AIACHINI","VIALE MADONNINA DEI CENTAURI 130","CASTELLAZZOBORMIDA","AL","15073","","0131275203","320 767 5979","FRATELLIAIACHINI@VIRGILIO.IT","",""
"CRISTALLO","AL_CASTELLAZZO BORMIDA_02_ROMANIN DORIANO AUTOSOCCORSO","VIA MILIETE IGNOTO 87","CASTELLAZZO BORMIDA","AL","15073","true","0131270739","3383401994","DORIANO@ROMANINAUTO.IT","09/10/2020 10:52","3664057273"
"BCS","AL_CASTELLETTO D'ORBA_01_OFFICINA LANZA SNC","STRADA PER S. AGATA, 72","CASTELLETTOD'ORBA","AL","15060","","0143830021","333 628 1901","INFO@OFFICINALANZA.IT","",""
"CRISTALLO","AL_CASTELLETTO MONFERRATO_01_OFFICINA FASTCAR DI CAMPAGNA ANGELO","VIALE DEL FONTANONE 3 ","CASTELLETTO MONFERRATO","AL","15040","true","013123341","338 564 5333","OFFICINAFASTCAR@GMAIL.COM","08/06/2021 16:13",""
"BCS","AL_FELIZZANO_01_F.LLI CERESA","VIA STAZIONE 24","FELIZZANO","AL","15023","","0131791483","338 443 0254","OFFICINA.CERESA@TISCALI.IT","",""
"CRISTALLO","AL_FELIZZANO_02_AUTOFFICINA PERUZZETTO DI AMEDEO PERUZZETTO","VIA VITTORIO VENETO 21","FELIZZANO","AL","15023","true","0131772527","338 977 8385","OFFICINA.PERUZZETTO@VIRGILIO.IT","07/10/2020 18:14",""
"CRISTALLO","AL_FRESONARA_01_AUTOCARROZZERIA MAERLINO ANGELO","STRADA DELLA GIUSTIZIA 1/A","FRESONARA","AL","15064","true","0143480428","3470330187","ALESSANDRO.MERLINO78@GMAIL.COM","15/10/2020 12:17","348 881 3525"
"DEROGHE","AL_FUBINE_01_POLARIS","VIA BORGHI, 151","FUBINE","AL","15043","true","0131791393","330 460 140","INFO@POLARISSERVICE.IT","17/02/2021 17:05",""
"CRISTALLO","AL_GABIANO_01_AUTOFFICINA GARIMANNO FRANCESCO","VIA TORINO 22","GABIANO","AL","15020","true","0142945365","3291666472","FRANGAR1@TISCALI.IT","05/10/2020 15:05",""
"CRISTALLO","AL_GAMALERO_01_CARROZZERIA SARDI SNC","VIA MOMBARUZZO 14","GAMALERO","AL","15010","","0131858756","","","",""
"CRISTALLO","AL_GARBAGNA_01_AUTOFFICINA 2M","VIA ROMA 45","GARBAGNA","AL","15050","","0131877000","333 476 0376","OFFICINA.MARAZZI@GMAIL.COM","","348 344 3014"
"CRISTALLO","AL_GAVI_01_CARROZZERIA GAVIESE DI VINTERA MAURO","VIA SERRAVALLE, 14/A","GAVI","AL","15066","true","0143642535","349 695 3603","CARROZZERIAGIAVESE@GMAIL.COM","14/07/2020 17:03",""
"CRISTALLO","AL_GAVI_02_AUTOFFICINA DI ZAPPALÃ SANTO","VIA SERRAVALLE ,32","GAVI","AL","15066","true",""," 349 069 595","AUTOFFICINAZAPPALA@TISCALI.IT","14/07/2020 17:05",""
"CRISTALLO","AL_GAVI_03_AUTOFFICINA CONCESSIONARIA MAGNONE","VIA ZEFFIRINO BERTELLI, 42/44","GAVI","AL","15066","","","320 707 1620","FIAT@FIATMAGNONE.IT","",""
"CRISTALLO","AL_GAVI_04_AUTOCARROZZERIA LA SPECIAL","VIA VOLTAGGIO, 24","GAVI","AL","15066","true","","3482107519","LASPECIALGAVI@HOTMAIL.IT","05/09/2022 17:15",""
"CRISTALLO","AL_LITTA PARODI_01_BONATO PNEUMATICI","VIA PIACENZA IN SAN GIUTIANO 4/D","LITTA PARODI","AL","15122","true","","380 493 0807","MECCANICA.BONATO@GMAIL.COM","13/07/2020 10:30",""
"CRISTALLO","AL_LU E CUCCARO MONFERRATO_01_CENTRO REVISIONI F&amp;G","VIA ROMA, 29","LU E CUCCARO MONFERRATO","AL","15037","true","0131741150","","ALICE.FERRANDO@LIBERO.IT","20/07/2022 09:27",""
"DEROGHE","AL_MIRABELLO M.TO_01_L'OFFICINA DI COLDANI PAOLO","VIA ROMA 52","MIRABELLOM.TO","AL","15040","","","334 312 9523","PAOLINO070@ALICE.IT","",""
"ACREW","AL_MONTECHIARO D'ACQUI_01_MIRCO MOTORS","VIA CAPITANO DEBERNARDI,3","MONTECHIAROD'AQUI","AL","15010","","0144213000","349 161 8733","","",""
"CRISTALLO","AL_MORANO SUL PO_01_AUTO SM OFFICINA - KEROTRIS","VIA CASALE 40","MORANO SUL PO","AL","15025","true","","338 328 9322","SMAUTOFFICINA@GMAIL.COM","08/10/2020 16:55","3491307876"
"ACREW","AL_NOVI LIGURE_01_NUOVA SIVAR","STRADA STATALE 35 BIS DEI GIOVI 3","NOVILIGURE","AL","15067","","0143329109","347 572 7379","NUOVASIVAR@ACREW.IT","",""
"CRISTALLO","AL_NOVI LIGURE_02_NUOVA ASSISTAUTO SRL","VIA TRATTO DI MAASTRICHT 1","NOVI LIGURE","AL","15067","","0143323596","3774181806","N.ASSISTAUTO@VIRGILIO.IT","",""
"CRISTALLO","AL_NOVI LIGURE_03_EUROPNEUSNOVI","STRETTOIA BOSCOMARENGO 17","NOVI LIGURE","AL","15067","","0143746035","347 302 4969","INFO@EUROPNEUSNOVI.IT","","348 771 8231"
"CRISTALLO","AL_NOVI LIGURE_04_SPORTLINE PNEUS","VIA ROBERT SHUMAN 2A","NOVI LIGURE","AL","15067","true","0143745498","351 686 6838","INFO@SPORTLINEPNEUS.IT","15/07/2020 17:35","339 721 0247"
"CRISTALLO","AL_NOVI LIGURE_05_AUTOFFICINA PIET DI D'EBOLI SALVATORE","VIA MAZZINI 113","NOVI LIGURE","AL","15067","","01432030"," 338 135 659","AUTOFFICINA.PIET@LIVE.IT","",""
"CRISTALLO","AL_NOVI LIGURE_06_AUTOFFICINA REPETTO SAS","VIALE DELL'AGRICOLTURA 19","NOVI LIGURE","AL","15067","true","014376333","345 850 3155","DARIO86R@GMAIL.COM","26/09/2020 09:45",""
"CRISTALLO","AL_NOVI LIGURE_07_AUTOFFICINA CARLO","VIA GIOVANNI AMENDOLA 6 ","NOVI LIGURE","AL","15067","true","0143745398","340 651 2791","INFO@AUTOFFICINACARLO.IT","13/04/2021 15:13",""
"BCS","AL_OVADA_01_ELETTRAUTO 81 SAS","VIA NOVI, 1","OVADA","AL","15076","","014386166","","INFO@ELETTRAUTO81.IT","",""
"ACREW","AL_OVADA_02_ROSSO AUTO","VIA MOLARE 60/C","OVADA","AL","15076","","014380239","328 076 2394","","",""
"CRISTALLO","AL_OVADA_03_LERMA GOMME SNC","STR. VOLTRI, 27","OVADA","AL","15076","true","","366895352","LERMAOVADA@LIBERO.IT","25/07/2020 09:42",""
"ACREW","AL_OVIGLIO_01_AUTOEQUIPE DI PONGOLI","REG. SAN GIOVANNI, 19/A","OVIGLIO","AL","15026","","0131776128","392 525 2965","AUTOEQUIPE2008@LIBERO.IT","",""
"CRISTALLO","AL_PONTECURONE_01_CB PNEUMATICI PONTECURONE","VIA EMILIA SUD, 13","PONTECURONE","AL","15055","true","0131896146","","DEBORA@CBPNEUMATICI.IT","08/06/2022 10:37",""
"CRISTALLO","AL_PONTESTURA_01_OFFICINA VOLPATO BRUNO","CORSO DANTE 46","PONTESTURA","AL","15027","true","0142466366","335 731 1114","AMMINISTRAZIONE@VOLPATOBRUNO.IT","12/02/2021 09:24",""
"BCS","AL_QUATTORDIO_01_F.LLI MAZZEI S.C","VIA CIRCONVALLAZIONE, 18","QUATTORDIO","AL","15028","","0131773163","393 743 7818","ELI.MAZZEI27@GMAIL.COM","",""
"BCS","AL_RIVALTA BORMIDA_01_STEFANELLI VALERIO","REG. S.MICHELE, 178","RIVALTA BORMIDA","AL","15010","","0144372239","333 794 6691","CITROENSTEFANELLI@LIBERO.IT","",""
"CRISTALLO","AL_SAN GIORGIO MONFERRATO_01_F.A.G. PNEUS","STRADA ROSIGNANO 1","SAN GIORGIO MONFERRATO","AL","15020","true","0142806585","3389245571","RINO.RIBALDONE@ALICE.IT","23/12/2020 10:07",""
"CRISTALLO","AL_SAN GIULIANO_01_FRATELLI TORTONESE SNC","VIA PIACENZA 121","SAN GIULIANO","AL","15122","true","","3337768135","FRATELLI_TORTONESE@VIRGILIO.IT","24/07/2020 17:47","3397450775"
"CRISTALLO","AL_SAN MICHELE_01_BIMAUTO SRL					","VIA ROBERTO DI FERRO 24","SAN MICHELE","AL","15122","","01313644451","3460144637","FRANCESCA.NUVIONE@BIMAUTO.IT","",""
"CRISTALLO","AL_SAN SALVATORE MONFERRATO_01_AUTORIPARAZIONI SPEED","STRADA PROVINCIALE S.SALVATORE LU 97","SAN SALVATORE MONFERRATO","AL","15046","true","0131239439","339 526 8159","AUTORIPARAZIONISPEED@ALICE.IT","02/03/2022 08:55",""
"CRISTALLO","AL_SAREZZANO_01_MORETTI IMPIANTI DI MORETTI MASSIMILIANO","VIA TORTONA 4","SAREZZANO","AL","15050","","0131884168","347 971 6849","","",""
"DEROGHE","AL_SERRAVALLE SCRIVIA_01_SERRAVALLE PNEUMATICI","VIA MARTIRI DELLA BENEDICTA 117","SERRAVALLESCRIVIA","AL","15069","","014365287","338 358 2358","SERRAVALLEPNEUMATICI@GMAIL.COM","",""
"CRISTALLO","AL_SERRAVALLE SCRIVIA_02_ESSO SERRAVALLE SCRIVIA","STR PROV 35 TER DEI GIOVI KM 0+759","SERRAVALLE SCRIVIA","AL","15069","",""," 347 754 932","","",""
"CRISTALLO","AL_SEZZADIO_01_CARROZZERIA SEZZADIESE","VIA CASTELSPINA 10","SEZZADIO","AL","15079","","0131703168","339 528 4660","SEZZADIESE@TISCALI.IT","",""
"ACREW","AL_SILVANO D'ORBA_01_COINOVA S.R.L.","VIA LERMA 91","SILVANOD'ORBA","AL","15060","","0143882093","392 682 3573","COMMERCIALE@COINOVA.COM","",""
"ACREW","AL_SOLERO_01_AUTOFER SNC","S.S. 10 EST, 1/3","SOLERO","AL","15029","","0131210840","","INFO@AUTOFER.IT","",""
"DEROGHE","AL_SPIGNO M.TO_01_AUTORIPARAZIONI BRUNO","REGIONE MENASCO","SPIGNOM.TO","AL","15018","","014491127","327 666 2842","AUTORIPARAZIONIBRUNO@GMAIL.COM","",""
"CRISTALLO","AL_SPINETTA MARENGO_01_TONYSERVICE","VIA RANA 6","SPINETTA MARENGO","AL","15122","","0131216573"," 339 249 281","INFO@TONYSERVICE.IT","",""
"ACREW","AL_STREVI_01_CESTARI RACING","REG. GARABELLO, 28","STREVI","AL","15019","","0144363613","331 459 0229","CESTARIRACING@LIBERO.IT","",""
"BCS","AL_TORTONA_01_PICCININI C. &amp; SALA A. SRL","S.P. CASTELNUOVO SCRIVIA","TORTONA","AL","15057","","0131862700","","PICCININI&amp;SALA@BOSCHCARSERVICE.IT","",""
"CRISTALLO","AL_TORTONA_02_NOVA GOMME","STRADA BERTARINO 12B","TORTONA","AL","15057","","0131863914","334 279 1614","","",""
"CRISTALLO","AL_TORTONA_03_EUROMASTER DERTHONA GOMME E MOTORI","VIA ANTICA PIAZZA D'ARMI 5","TORTONA","AL","15057","","013186257","339 560 5333","DERTHONAGOMMEEMOTORI@FRANCHISE.EUROMASTER.COM","","338 285 4718"
"CRISTALLO","AL_TORTONA_04_VISAUTO SRL","STRADA STATALE PER VOGHERA 93/5/R","TORTONA","AL","15057","true","0131866666","333 858 7121","OFFICINA@VISAUTO.IT","08/07/2020 17:10","347 687 0108"
"CRISTALLO","AL_TORTONA_05_TORTONA GOMME &amp; AUTOFFICINA SNC","STRADA BERTARINO, 16","TORTONA","AL","15057","true","01311935433","335 636 9248","ANDREACOSSUINFO@YAHOO.IT","14/06/2022 08:49",""
"CRISTALLO","AL_TORTONA_06_AUTORIPARAZIONI TEDESCO PIETRO","VIA SILVIO FERRARI 15","TORTONA","AL","15057","","0131812074","335 807 9958","","",""
"CRISTALLO","AL_TORTONA_07_PUNTO GOMME - GIELLE RENT","STRADA STATALE PER ALESSANDRIA 14","TORTONA","AL","15057","true","0131894105","347 311 9291","PUNTOGOMME2017@GMAIL.COM","14/07/2020 12:15","3387280615"
"CRISTALLO","AL_TORTONA_08_PNEUMATICI ARRIGHINI SRL","STRADA STATALE PER VOGHERA 54","TORTONA","AL","15057","true","0131862084","346 364 3190","PNEUMATICIARRIGHINI@GMAIL.COM","22/07/2020 09:14","347 281 9342"
"BCS","AL_VALENZA_01_LENTI E EPIS DI LENTI GIOVANNI &amp; C.","VIA DELL'ARTIGIANATO, 27/29","VALENZA","AL","15048","","0131943096","335 649 5599","LENTI.EPIS@TISCALI.IT","",""
"CRISTALLO","AL_VALENZA_02_BALDINI SERVICE","VIALE VICENZA 3","VALENZA","AL","15048","true","0131975178","334 741 5360","BALDINISERVICEVALENZA@GMAIL.COM","08/01/2021 17:53","338 455 7333"
"CRISTALLO","AL_VIGNOLE BORBERA_01_AUTOFFICINA MAZZEI FIORE","VIA MARTIRI BENEDICTA 48","BORBERA","AL","15060","","","","","",""
"ACREW","AL_VILLANOVA MONFERRATO_01_O.R.B. DI BARATELLA LUCA","VIA VITTORIO VENETO, 135 BIS","VILLANOVAM.TO","AL","15030","","0142483396","","OFFICINAORB@ACREW.IT","",""
"CRISTALLO","AL_VILLANOVA MONFERRATO_02_LA BOTTEGA DEL MECCANICO","VIA ROMA 13","VILLANOVA MONFERRATO","AL","15030","true","","3482478571","LABOTTEGADELMECCANICO@GMAIL.COM","10/10/2020 10:42",""
"DEROGHE","ALESSANDRIA_01_ AUTOSTORE SRL ","STRADA PROVICIALE PAVIA 24","VALMADONNA ALESSANDRIA","AL","15122","","3662977548","366 297 7548","AMMINISTRAZIONE@AUTOSTOREAL.IT","",""
"DEROGHE","ALESSANDRIA_02_GARAGE TYRES","SPALTO MARENGO 81","ALESSANDRIA","AL","15121","","0131443191","338 341 0039","GARAGE.TYRES@LIBERO.IT","",""
"DEROGHE","ALESSANDRIA_03_GOMME&amp;MOTORI"," VIA SARDEGNA, 87 G","ALESSANDRIA","AL","15121","true","0131267102","331 126 0512","GOMMEEMOTORI@EUROMASTER.COM","26/01/2022 17:33",""
"DEROGHE","ALESSANDRIA_04_MOTOSERVICE ALESSANDRIA","VIA DON CANESTRI, 9","ALESSANDRIA","AL","15121","","0131236997","","LORENZO_MOTOSERVICE@LIBERO.IT","",""
"CRISTALLO","ALESSANDRIA_05_GARAGE RAITERI	","VIA BONARDI 14","ALESSANDRIA","AL","15121","true","0131342074","3334624520","INFO@RAITERISNC.IT","19/12/2022 09:15","3280358266"
"BCS","ALESSANDRIA_06_NOVELLI 1934 SRL","S.S. AL-AT KM. 1 S.MICHELE","ALESSANDRIA","AL","15122","","01313644230","","NOVAUTOAL@BOSCHCARSERVICE.IT","",""
"CRISTALLO","ALESSANDRIA_07_AUTOOFFICINA RIPARAZIONI FB SNC","VIALE DELL'INDUSTRIA, 8","ALESSANDRIA","AL","15121","true","0131442432","3493989362","FBAUTORIP@TIN.IT","14/07/2020 17:31",""
"CRISTALLO","ALESSANDRIA_08_ALESSANDRINA COLLAUDI","VIA CAIROLI 11","ALESSANDRIA","AL","15121","","0131185114","329 465 0466","LEPIDO1959@LIBERO.IT","",""
"CRISTALLO","ALESSANDRIA_09_BOLIDEA SRL","STRASA STATALE 10 , 15","ALESSANDRIA","AL","15122","","0131445700","333 800 5509","","",""
"CRISTALLO","ALESSANDRIA_10_MOSETTO SERVICE","CORSO ACQUI 209","ALESSANDRIA","AL","15121","true","0131248377"," 347 343 984","MASSIMOMOSETTO@GMAIL.COM","22/02/2022 15:35",""
"CRISTALLO","ALESSANDRIA_11_AUTOREVISIONI SC ALESSANDRIA","CORSO ACQUI 41","ALESSANDRIA","AL","15121","true","0131345332","","AUTOREVISIONISC@LIBERO.IT","27/07/2022 12:04",""
"CRISTALLO","ALESSANDRIA_12_AUTORIPARAZIONI NUOVA OFFICINA MODERNA","VIA FERNANDO SANTI 19","ALESSANDRIA","AL","15121","true","0131218004","320 832 0223","NUOVAOFFICINAMODERNA@OFFICINAMODERNA.NET","25/01/2022 12:15","346 494 4763"
"CRISTALLO","ALESSANDRIA_13_AUTOFFICINA GHIRARDI","VIA ERNESTO PISTOIA 40","ALESSANDRIA","AL","15121","","01311852956","366 728 9352","OFFGHIRARDIM@YAHOO.IT","",""
"CRISTALLO","ALESSANDRIA_14_ROLANDI AUTO SPA","VIA LAVORO 35","ALESSANDRIA","AL","15121","true","","","BARBARA.AUDISIO@ROLANDIAUTO.CONC-BMW.COM","22/07/2020 12:53",""
"CRISTALLO","ALESSANDRIA_15_R.D. SERVICE ","STRADA PROVINCIALE PAVIA 8","ALESSANDRIA","AL","15121","true","0131030680","331 813 1308","RD.SERVICE24@GMAIL.COM","12/08/2020 11:31",""
"CRISTALLO","ALESSANDRIA_16_N&amp;C AUTO SERVICE SAS","STRADA PROVINCIALE PAVIA (DI FIANCO A PIVATO MOBILI ENTRA NEL CANCELLO DISCOUNT DELL'AUTO)","ALESSANDRIA","AL","15121","true","01311952863","366 653 7701","NCAUTOSERVICE2010@OUTLOOK.IT","16/10/2021 09:19",""
"CRISTALLO","ALESSANDRIA_17_AUTOSERVIZI ALESSANDRIA DI GATTI GABRIELLA SAS","VIA TORTONA 3 ","ALESSANDRIA","AL","15121","true","0131254624","347 840 8789","AUTOSERVIZI.AL@GMAIL.COM","04/08/2020 17:43","344 055 1460"
"CRISTALLO","ALESSANDRIA_18_AUTOSOCCORSI IMA","LARGO CATANIA 5 ","ALESSANDRIA","AL","15121","","0131225319","335 690 7017","","",""
"CRISTALLO","ALESSANDRIA_19_CENTRO REVISIONI AUTOVEICOLI ALESSANDRIA","VIA GIORDANO BRUNO 51","ALESSANDRIA","AL","15121","","0131227290","3356907017","","",""
"BCS","ALESSANDRIA_20_AUTOSERVICE 2005","VIA B.DAL POZZO 10","ALESSANDRIA","AL","15121","true","0131222025","338 214 4248","AUTOSERVICE.2005@LIBERO.IT","12/10/2021 10:26",""
"CRISTALLO","ALESSANDRIA_21_AN.GI DI ANTONIO LECCE SAS","LUNGO TANARO SOLFERINO 7","ALESSANDRIA","AL","15121","true","0131223809","328 717 3698","ANGICARSERVICE@GMAIL.COM","20/10/2021 17:22",""
"BCS","ALESSANDRIA_22_OFFICINA GAGLIARDI","VIA CAIROLI 3","ALESSANDRIA","AL","15121","true","0131266282","339 827 3184","OFFICINAGAGLIARDI@GMAIL.COM","12/02/2024 15:19",""
"CRISTALLO","ALESSANDRIA_23_DIMENSIONAUTO SRLS","VIA DELLA MARANZANA 68","ALESSANDRIA","AL","15121","true","","3313245060","DIMENSIONAUTO@LIBERO.IT","25/11/2021 11:44",""
"CRISTALLO","ALESSANDRIA_24_DISTRIBUTORE ENI STATION","VIA LUIGI GALVANI, 4","ALESSANDRIA","AL","15100","","","3497047659","","",""
"CRISTALLO","ALESSANDRIA_25_CARROZZERIA VOLTA SNC","VIA S. GIOVANNI BOSCO, 24, 15121 AL","ALESSANDRIA ","A ","15121","","0131235496","340 951 3587","","",""
"CRISTALLO","ALESSANDRIA_26_CARROZZERIA FRANZINI","VIALE T.MICHEL, 34","ALESSANDRIA","AL","15121","","0131223062","371 4141632","NCFRANZINI@TISCALI.IT","",""
"CRISTALLO","ALESSANDRIA_27_BENZAUTO","VIA ACHILLE SCALVO 44","ALESSANDRIA","AL","15121","true"," 0131481629","","INFO@PREMIUMCARSTORE.CH","22/02/2024 17:33",""
"CRISTALLO","ALPITEL SPA - MAGAZZINO","VIA BOVES 6","MONCALIERI","TO","10024","","","","","",""
"CRISTALLO","AO_ SAINT CHRISTOPHE_OFFICINA GEATANO SRL","LOC GRANDE CHARRIÃRE 87 11020 (AO)","SAINT CHRISTOPHE ","AO","11020","","","","CARROZZERIAGAETANO23@GMAIL.COM","",""
"BCS","AO_QUART_01_OFFICINA PISANO	","LOCALITA' LILLAZ 13","QUART","AO","11020","","0165765608","3791175846","ACIGAETANO81@GMAIL.COM","",""
"CRISTALLO","AO_QUART_2_OFFICINA PISANO (SEDE 2) ","LOC.AMERIQUE 107","QUART","AO","11020","","","","ACIGAETANO81@GMAIL.COM","",""
"CRISTALLO","ASTI_01_ASTI AUTO SOCCORSO","STRADA DRAGA 4","ASTI","AT","13100","true","0141599553","347 750 8957","AMMINISTRAZIONE@ASTIAUTOSOCCORSO.IT","04/07/2022 09:47",""
