1,8,2,4,5,6,7,3
"CON.TE","","06 45 234523","GESTIONESINISTRI@CONTE.IT","","DEBORA.VERDINO@CONTE.IT","",""
"COVEA FIAT/OPEL","","","","MACH1@REGISTERPEC.IT","","",""
"COVEA RENAULT/DACIA","","800 19 69 20","","ASSISTENZACLIENTI@MACH-1.IT","","",""
"COVEA VOLKSW/SEAT/AUDI/SKODA","","","","VWFS@MACH-1.IT","","",""
"CREDIT AGRICOLE","","","UGS@CA-ASSICURAZIONI.IT","","","",""
"CREDIT RAS","true","800 11 66 33","MAILCLD800@ALLIANZ.IT","","RECLAMI@CREDITRASASSCIURAZIONI.IT","",""
"CRYSTAL SHOCK VAN PLUS ","","","SINISTRI@OVERA.IT","","","",""
"DALLBOG INSURANCE","","0249534090","","SINISTRIDALLBOGG@LEGALMAIL.IT","","RECLAMIDALLBOGG@LEGALMAIL.IT",""
"DARAG","","","SINISTRI.DARAG@MULTISERASS.COM ","","","DARAG@LEGALMAIL.IT",""
"DEUTSCHE BANK","","","","","","",""
"DONAU","","800978549","SINISTRI.DARAG@MULTISERASS.COM","","RECLAMI@DONAUASSICURAZIONI.IT","",""
"EUROHERC","","","","","","",""
"EUROPE ASSISTANCE","","800 904891","","","","",""
"FATA","","800 57 53 53","","CATTOLICA.ASSICURAZIONI@PEC.GRUPPOCATTOLICA.IT","","",""
"FIT2YOU","","0381347018","GESTIONE.SINISTRI@FIT2YOU.IT","","","",""
"GENERALI","","800 880 880","LIQUIDAZIONECONTACTCENTER.IT@GENERALI.COM","","RECLAMI.IT@GENERALI.COM","GENERALIITALIA@PEC.GENERALIGROUP.COM",""
"GENERTEL","","800 20 20 20","","GENERTEL@PEC.GENERTEL.IT","QUALITY@GENERTEL.IT","",""
"GENERTEL FCA","",""," SINISTRICAAUTOBANK@DOUBLESINSURANCE.COM","","","",""
"GLOBAL ASSISTANCE","","02433 35063","","SERVIZIO.LIQUIDAZIONI@GLOBALASSISTANCE.IT","GESTIONE.RECLAMI@GLOBALASSISTANCE.IT","",""
"GLOBAL SAFE","","800129665","SINISTRI.GLOBALSAFE@GLOBALSAFE.IT","","","",""
"GREENVAL INSURANCE DAC","","024654741","SINISTRI.GREENVAL@MULTISERASS.COM","","","",""
"GROUPAMA","","0289 663333","RICHIESTEDANNI@GROUPAMA.IT","","","ANTONELLA.POMPILI@GROUPAMA.IT",""
"HDI","","800 542002","","HDI.ASSICURAZIONI@PEC.HDIA.IT","RECLAMI@PEC.HDIA.IT","",""
"HELVETIA","","025 3511","INFO@HELVETIA.IT","","ISPETTORATOSINISTRI.TORINO@HELVETIA.IT","",""
"HELVETIA ITALIA ","","0253511","SINISTRI@HELVETIAITALIA.IT","","ISPETTORATOSINISTRI.TORINO@HELVETIA.IT","HELVETIAITALIA@PEC.HELVETIA.IT",""
"HYUNDAI CAPITAL - I DOUBLE S SERVICES SRL","","","SINISTRIHCBE@DOUBLESINSURANCE.COM","","","",""
"INFODRIVE","","0692928532","GLASS@INFODRIVE.IT","","","",""
"INSIDEA","","","","PEC@PEC.INSIDE20.IT","","",""
"INTESA SAN PAOLO","","800 124 124","","SINISTRI@PEC.INTESASANPAOLOASSICURA.COM","RECLAMI@INTESASANPAOLOASSICURA.COM","",""
"ITALIANA","true","800 101 313","UFFICIO.CRISTALLIVEICOLI@REALEMUTUA.IT","","UFFICIO.CRISTALLIVEICOLI@REALEMUTUA.IT","",""
"ITAS","","0461896301","APERTURASINISTRI@GRUPPOITAS.IT","","RECLAMI@GRUPPOITAS.IT","",""
"LE ASSICURAZIONI DI ROMA","","06 58781","SINISTRI@ADIR.IT","","","",""
"LE ASSICURAZIONI DI ROMA","","","","","","",""
"LIBERTY","","","SINISTRI.LSM@LEGALMAIL.IT","","","",""
"LINEAR","","800 475 999","SINISTRI@LINEAR.IT","","RECLAMI@LINEAR.IT","",""
"LLOYD'S","","","","UIASINISTRI@PEC.IT","","",""
"NEMESI CRYSTAL","","028002571","SINISTRI.CRYSTAL@NEMESIASSISTANCE.COM","","","",""
"NOBIS","","","CRISTALLI@NOBIS.IT","","","",""
"NOBIS FILO DIRETTO","","039 98 90001","CRISTALLI@NOBIS.IT","","","",""
"ONEY INSURANCE","","","ASSISTENZACLIENTI@PASSWAY.IT","","","",""
"ONEY INSURANCE - PASSWAY","","800124884","ASSISTENZACLIENTI@PASSWAY.IT","","ASSISTENZACLIENTI@PASSWAY.IT","",""
"POSTE INSURANCE","","800131811","SINISTRIPOSTE@LINEAR.IT","","","",""
"PRIMA.IT","","0272626464","SINISTRI@PRIMA.IT","","","",""
"QUI POLIZZA","","028362711","","QUIPOLIZZA@LEGALMAIL.IT","","",""
"QUIXA","true","0284252900","INFOSINISTRI@QUIXA.IT","","","",""
"REALE MUTUA","true","800 092 092","UFFICIO.CRISTALLIVEICOLI@REALEMUTUA.IT","","","",""
"RSA","","","SINISTRI@GRUPPOITAS.IT","","","",""
"SARA","","0684 751","","SARAASSICURAZIONI@SARA.TELECOMPOST.IT","GEST.RECLAMI@SARA.IT","",""
"SOGESSUR SRL","","0243956001","DENUNCIA.SOGESSUR@AON.IT","","","",""
"TELEPASS ASSICURA SRL","","0283967100","SINISTRI@TELEPASSASSICURA.COM","","","",""
"TOYOTA ASSICURAZIONI","","800894046","CRISTALLI@AIOINISSAYDOWA.EU","","","",""
"TUA ASSICURAZIONI","true","022 77 37 22","SERVIZIOCLIENTI@TUAASSICURAZIONI.IT","TUA.ASSICURAZIONI@PEC.GRUPPOCATTOLICA.IT","RECLAMI@TUAASSIRAZIONI.IT","",""
"UNIPOLSAI","","800 993388","CALLCENTER.DIREZIONESINISTRI@UNIPOLSAI.IT","","RECLAMI@UNIPOLSAI.IT","","800 030357"
"UNIPOLSAI ICAR ","","","SINISTRI@UNIPOLSAIBO.IT","","RECLAMI@UNIPOLSAI.IT","",""
"UNIQA","","800 25 27 47","","UNIQAASSICURAZIONI@PEC.UNIQAGROUP.IT","RECLAMI@UNIQAGROUP.IT","",""
"VERA ASSICURAZIONI","","800550323","INVIODOC@CATTOLICAASSICURAZIONI.IT","","","",""
"VERTI","","02 36617 100","DENUNCIA.VERTI@VERTI.IT","VERTI@PEC.VERTI.IT","RECLAMI@VERTI.IT","",""
"VITTORIA","","800 016611","","VITTORIAASSICURAZIONI@PEC.VITTORIAASSICURAZIONI.IT","SERVIZIORECLAMI@VITTORIAASSICURAZIONI.IT","",""
"VOLKSWAGEN FINANCIAL SERVICES","","","","","","",""
"WAKAM - PASSWAY","","800124884","ASSISTENZACLIENTI@PASSWAY.IT ","","ASSISTENZACLIENTI@PASSWAY.IT ","",""
"WEFOX MGA SRL","","","ASSISTENZA.CLIENTI@WEFOX.IT","","","",""
"WIN WIN","","","INFO@WINWINSOLUTION.IT","","","",""
"ZURICH","","0125 852120","","ZURICH.INSURANCE.COMPANY@PEC.ZURICH.IT","","",""
"ZURICH CONNECT","","0283 430000","DOCUMENTI@ZURICH-CONNECT.IT","","RECLAMI@ZURICH.IT","",""
"ZURIGO'","","0125 852120","","ZURICH.INSURANCE.COMPANY@PEC.ZURICH.IT","","",""
