"insuranceDescription","insuranceTypeOpenAccident","insurancePhone","insuranceMail","insurancePec","insuranceMailComplaint","insuranceMailComplaintPec","insuranceFax","companyId","companyName","status","order"
"CRYSTAL SHOCK VAN PLUS ","","","SINISTRI@OVERA.IT","","","","",1,"Cristallo srls","published",""
"DALLBOG INSURANCE","","0249534090","","SINISTRIDALLBOGG@LEGALMAIL.IT","","RECLAMIDALLBOGG@LEGALMAIL.IT","",1,"Cristallo srls","published",""
"DARAG","","","SINISTRI.DARAG@MULTISERASS.COM ","","","DARAG@LEGALMAIL.IT","",1,"Cristallo srls","published",""
"DEUTSCHE BANK","","","","","","","",1,"Cristallo srls","published",""
"DONAU","","800978549","SINISTRI.DARAG@MULTISERASS.COM","","RECLAMI@DONAUASSICURAZIONI.IT","","",1,"Cristallo srls","published",""
"EUROHERC","","","","","","","",1,"Cristallo srls","published",""
"EUROPE ASSISTANCE","","800 904891","","","","","",1,"Cristallo srls","published",""
"FATA","","800 57 53 53","","CATTOLICA.ASSICURAZIONI@PEC.GRUPPOCATTOLICA.IT","","","",1,"Cristallo srls","published",""
"FIT2YOU","","0381347018","GESTIONE.SINISTRI@FIT2YOU.IT","","","","",1,"Cristallo srls","published",""
"GENERALI","","800 880 880","LIQUIDAZIONECONTACTCENTER.IT@GENERALI.COM","","RECLAMI.IT@GENERALI.COM","GENERALIITALIA@PEC.GENERALIGROUP.COM","",1,"Cristallo srls","published",""
"GENERTEL","","800 20 20 20","","GENERTEL@PEC.GENERTEL.IT","QUALITY@GENERTEL.IT","","",1,"Cristallo srls","published",""
"GENERTEL FCA","",""," SINISTRICAAUTOBANK@DOUBLESINSURANCE.COM","","","","",1,"Cristallo srls","published",""
"GLOBAL ASSISTANCE","","02433 35063","","SERVIZIO.LIQUIDAZIONI@GLOBALASSISTANCE.IT","GESTIONE.RECLAMI@GLOBALASSISTANCE.IT","","",1,"Cristallo srls","published",""
"GLOBAL SAFE","","800129665","SINISTRI.GLOBALSAFE@GLOBALSAFE.IT","","","","",1,"Cristallo srls","published",""
"GREENVAL INSURANCE DAC","","024654741","SINISTRI.GREENVAL@MULTISERASS.COM","","","","",1,"Cristallo srls","published",""
"GROUPAMA","","0289 663333","RICHIESTEDANNI@GROUPAMA.IT","","","ANTONELLA.POMPILI@GROUPAMA.IT","",1,"Cristallo srls","published",""
"HDI","","800 542002","","HDI.ASSICURAZIONI@PEC.HDIA.IT","RECLAMI@PEC.HDIA.IT","","",1,"Cristallo srls","published",""
"HELVETIA","","025 3511","INFO@HELVETIA.IT","","ISPETTORATOSINISTRI.TORINO@HELVETIA.IT","","",1,"Cristallo srls","published",""
"HELVETIA ITALIA ","","0253511","SINISTRI@HELVETIAITALIA.IT","","ISPETTORATOSINISTRI.TORINO@HELVETIA.IT","HELVETIAITALIA@PEC.HELVETIA.IT","",1,"Cristallo srls","published",""
"HYUNDAI CAPITAL - I DOUBLE S SERVICES SRL","","","SINISTRIHCBE@DOUBLESINSURANCE.COM","","","","",1,"Cristallo srls","published",""
"INFODRIVE","","0692928532","GLASS@INFODRIVE.IT","","","","",1,"Cristallo srls","published",""
"INSIDEA","","","","PEC@PEC.INSIDE20.IT","","","",1,"Cristallo srls","published",""
"INTESA SAN PAOLO","","800 124 124","","SINISTRI@PEC.INTESASANPAOLOASSICURA.COM","RECLAMI@INTESASANPAOLOASSICURA.COM","","",1,"Cristallo srls","published",""
"ITALIANA","true","800 101 313","UFFICIO.CRISTALLIVEICOLI@REALEMUTUA.IT","","UFFICIO.CRISTALLIVEICOLI@REALEMUTUA.IT","","",1,"Cristallo srls","published",""
"ITAS","","0461896301","APERTURASINISTRI@GRUPPOITAS.IT","","RECLAMI@GRUPPOITAS.IT","","",1,"Cristallo srls","published",""
"LE ASSICURAZIONI DI ROMA","","06 58781","SINISTRI@ADIR.IT","","","","",1,"Cristallo srls","published",""
"LE ASSICURAZIONI DI ROMA","","","","","","","",1,"Cristallo srls","published",""
"LIBERTY","","","SINISTRI.LSM@LEGALMAIL.IT","","","","",1,"Cristallo srls","published",""
"LINEAR","","800 475 999","SINISTRI@LINEAR.IT","","RECLAMI@LINEAR.IT","","",1,"Cristallo srls","published",""
"LLOYD'S","","","","UIASINISTRI@PEC.IT","","","",1,"Cristallo srls","published",""
"NEMESI CRYSTAL","","028002571","SINISTRI.CRYSTAL@NEMESIASSISTANCE.COM","","","","",1,"Cristallo srls","published",""
"NOBIS","","","CRISTALLI@NOBIS.IT","","","","",1,"Cristallo srls","published",""
"NOBIS FILO DIRETTO","","039 98 90001","CRISTALLI@NOBIS.IT","","","","",1,"Cristallo srls","published",""
"ONEY INSURANCE","","","ASSISTENZACLIENTI@PASSWAY.IT","","","","",1,"Cristallo srls","published",""
"ONEY INSURANCE - PASSWAY","","800124884","ASSISTENZACLIENTI@PASSWAY.IT","","ASSISTENZACLIENTI@PASSWAY.IT","","",1,"Cristallo srls","published",""
"POSTE INSURANCE","","800131811","SINISTRIPOSTE@LINEAR.IT","","","","",1,"Cristallo srls","published",""
"PRIMA.IT","","0272626464","SINISTRI@PRIMA.IT","","","","",1,"Cristallo srls","published",""
"QUI POLIZZA","","028362711","","QUIPOLIZZA@LEGALMAIL.IT","","","",1,"Cristallo srls","published",""
"QUIXA","true","0284252900","INFOSINISTRI@QUIXA.IT","","","","",1,"Cristallo srls","published",""
"REALE MUTUA","true","800 092 092","UFFICIO.CRISTALLIVEICOLI@REALEMUTUA.IT","","","","",1,"Cristallo srls","published",""
"RSA","","","SINISTRI@GRUPPOITAS.IT","","","","",1,"Cristallo srls","published",""
"SARA","","0684 751","","SARAASSICURAZIONI@SARA.TELECOMPOST.IT","GEST.RECLAMI@SARA.IT","","",1,"Cristallo srls","published",""
"SOGESSUR SRL","","0243956001","DENUNCIA.SOGESSUR@AON.IT","","","","",1,"Cristallo srls","published",""
"TELEPASS ASSICURA SRL","","0283967100","SINISTRI@TELEPASSASSICURA.COM","","","","",1,"Cristallo srls","published",""
"TOYOTA ASSICURAZIONI","","800894046","CRISTALLI@AIOINISSAYDOWA.EU","","","","",1,"Cristallo srls","published",""
"TUA ASSICURAZIONI","true","022 77 37 22","SERVIZIOCLIENTI@TUAASSICURAZIONI.IT","TUA.ASSICURAZIONI@PEC.GRUPPOCATTOLICA.IT","RECLAMI@TUAASSIRAZIONI.IT","","",1,"Cristallo srls","published",""
"UNIPOLSAI","","800 993388","CALLCENTER.DIREZIONESINISTRI@UNIPOLSAI.IT","","RECLAMI@UNIPOLSAI.IT","","800 030357",1,"Cristallo srls","published",""
"UNIPOLSAI ICAR ","","","SINISTRI@UNIPOLSAIBO.IT","","RECLAMI@UNIPOLSAI.IT","","",1,"Cristallo srls","published",""
"UNIQA","","800 25 27 47","","UNIQAASSICURAZIONI@PEC.UNIQAGROUP.IT","RECLAMI@UNIQAGROUP.IT","","",1,"Cristallo srls","published",""
"VERA ASSICURAZIONI","","800550323","INVIODOC@CATTOLICAASSICURAZIONI.IT","","","","",1,"Cristallo srls","published",""
"VERTI","","02 36617 100","DENUNCIA.VERTI@VERTI.IT","VERTI@PEC.VERTI.IT","RECLAMI@VERTI.IT","","",1,"Cristallo srls","published",""
"VITTORIA","","800 016611","","VITTORIAASSICURAZIONI@PEC.VITTORIAASSICURAZIONI.IT","SERVIZIORECLAMI@VITTORIAASSICURAZIONI.IT","","",1,"Cristallo srls","published",""
"VOLKSWAGEN FINANCIAL SERVICES","","","","","","","",1,"Cristallo srls","published",""
"WAKAM - PASSWAY","","800124884","ASSISTENZACLIENTI@PASSWAY.IT ","","ASSISTENZACLIENTI@PASSWAY.IT ","","",1,"Cristallo srls","published",""
"WEFOX MGA SRL","","","ASSISTENZA.CLIENTI@WEFOX.IT","","","","",1,"Cristallo srls","published",""
"WIN WIN","","","INFO@WINWINSOLUTION.IT","","","","",1,"Cristallo srls","published",""
"ZURICH","","0125 852120","","ZURICH.INSURANCE.COMPANY@PEC.ZURICH.IT","","","",1,"Cristallo srls","published",""
"ZURICH CONNECT","","0283 430000","DOCUMENTI@ZURICH-CONNECT.IT","","RECLAMI@ZURICH.IT","","",1,"Cristallo srls","published",""
"ZURIGO'","","0125 852120","","ZURICH.INSURANCE.COMPANY@PEC.ZURICH.IT","","","",1,"Cristallo srls","published",""
